,J,M,K,mode,#opt,T(s),T_opt(s),LP,#vars,#constrs,#nzs
0,100,10,5,A,True,280.845999956131,280.845999956131,0.0,1345000,6310,33606800
0,100,10,5,B,False,3600.0,3600.0,,0,0,0
0,100,10,5,C,True,29.953999996185303,29.953999996185303,0.0,810288,6310,15117886
0,100,10,5,D,False,3600.0,3600.0,,0,0,0
0,100,10,5,E,True,62.38000011444092,62.38000011444092,0.0,683229,6310,15854422
0,100,10,5,F,True,934.449000120163,934.449000120163,0.0,753550,77089,86784482
0,100,10,5,G,True,31.161999940872192,31.161999940872192,0.0,628845,6310,12391212
0,100,10,5,H,False,3600.0,3600.0,,0,0,0
0,100,10,5,I,True,23.838000059127808,23.838000059127808,0.0,291469,6310,5606342
0,100,10,5,J,True,295.7059998512268,295.7059998512268,0.0,323374,71464,46058819
