,number_of_jobs,number_of_machines,number_of_workers,optimum_reached,T(s),T_opt(s),LP,number_of_variables,number_of_constraints,nzs,version,number_of_projects
0,50,2,2,True,15.763999938964844,15.763999938964844,20.0,54680,1752,1055414,A,
1,50,2,2,True,511.1419999599457,511.1419999599457,393.0,57068,10609,6692156,B,
2,50,2,2,True,17.223999977111816,17.223999977111816,169.9999902224682,54100,1752,1049038,C,
3,50,2,2,True,195.22499990463257,195.22499990463257,546.0,57368,5777,3693940,D,
4,50,2,2,True,8.028000116348267,8.028000116348267,53.0,54184,1752,892150,E,
5,50,2,2,True,144.06399989128113,144.06399989128113,846.0,59036,7388,4849398,F,
6,50,2,2,True,3.243000030517578,3.243000030517578,1083.0,13098,1752,272510,G,
7,50,2,2,True,899.3270001411438,899.3270001411438,2707.0,12817,4976,915376,H,
8,50,2,2,True,3.0910000801086426,3.0910000801086426,1456.9999999999854,14041,1752,349222,I,
9,50,2,2,False,3600.223000049591,3600.0,5248.0,14668,7800,1808480,J,
10,50,5,3,True,12.447999954223633,12.447999954223633,0.0,211495,3355,4287480,A,
11,50,5,3,True,50.78099989891052,50.78099989891052,0.0,191470,11400,9696415,B,
12,50,5,3,True,9.494999885559082,9.494999885559082,0.0,153724,3355,3573726,C,
13,50,5,3,True,189.70500016212463,189.70500016212463,0.0,180964,30708,27446788,D,
14,50,5,3,True,7.184000015258789,7.184000015258789,0.0,75154,3355,1462912,E,
15,50,5,3,True,142.12199997901917,142.12199997901917,28.0,78970,27492,12524310,F,
16,50,5,3,True,8.990999937057495,8.990999937057495,0.0,70363,3355,1515444,G,
17,50,5,3,True,47.09600019454956,47.09600019454956,47.0,80266,17837,7815354,H,
18,50,5,3,True,2.815999984741211,2.815999984741211,0.0,54676,3355,1059308,I,
19,50,5,3,True,116.64100003242493,116.64100003242493,40.99999999999997,60817,19048,8402953,J,
20,50,5,5,True,19.009999990463257,19.009999990463257,0.0,325725,4155,9174200,A,
21,50,5,5,True,55.17700004577637,55.17700004577637,0.0,343750,12200,19711685,B,
22,50,5,5,True,7.207000017166138,7.207000017166138,0.0,180065,4155,3257124,C,
23,50,5,5,True,106.70500016212463,106.70500016212463,0.0,198395,28291,25871406,D,
24,50,5,5,True,6.403000116348267,6.403000116348267,0.0,166053,4155,2940944,E,
25,50,5,5,True,204.85800004005432,204.85800004005432,6.0,195747,15421,17472409,F,
26,50,5,5,True,8.96399998664856,8.96399998664856,0.0,177889,4155,3882876,G,
27,50,5,5,True,154.95099997520447,154.95099997520447,0.0,185511,28290,26665042,H,
28,50,5,5,True,5.476999998092651,5.476999998092651,1.0,69575,4155,1505980,I,
29,50,5,5,True,17.7810001373291,17.7810001373291,0.0,80696,12606,5780954,J,
30,100,4,4,True,606.5439999103546,606.5439999103546,48.0,424360,3504,9160428,A,
31,100,4,4,False,3601.5609998703003,3600.0,1575.0,466792,37295,52017482,B,
32,100,4,4,False,3600.1950001716614,3600.0,102.0,441320,3504,9630252,C,
33,100,4,4,False,3601.630999803543,3600.0,33.0,478056,37296,56015340,D,
34,100,4,4,True,678.7739999294281,678.7739999294281,483.0,180028,3504,3612844,E,
35,100,4,4,True,209.56299996376038,209.56299996376038,2.0,187715,9544,7623336,F,
36,100,4,4,True,143.03400015830994,143.03400015830994,168.0,188623,3504,3480604,G,
37,100,4,4,False,3600.582000017166,3600.0,141.0,183592,5919,6127922,H,
