,number_of_jobs,number_of_machines,number_of_workers,optimum_reached,T(s),T_opt(s),LP,number_of_variables,number_of_constraints,nzs,version,number_of_projects
0,50,2,2,True,9.814000129699707,9.814000129699707,19.999996400123486,54680,21952,691522,A,
1,50,2,2,True,694.6329998970032,694.6329998970032,393.0,57068,30809,3517070,B,
2,50,2,2,True,24.22099995613098,24.22099995613098,170.0,54100,21952,686594,C,
3,50,2,2,True,281.2980000972748,281.2980000972748,546.0,57368,25977,2018854,D,
4,50,2,2,True,11.294000148773193,11.294000148773193,53.0,54184,21952,608402,E,
5,50,2,2,True,206.7369999885559,206.7369999885559,845.9999999999991,59036,27588,2601590,F,
6,50,2,2,True,4.2799999713897705,4.2799999713897705,1083.0,26096,21902,337500,G,
7,50,2,2,True,215.5789999961853,215.5789999961853,2706.999999999998,25534,28342,1027060,H,
8,50,2,2,True,3.177000045776367,3.177000045776367,1456.9999999999882,27982,21902,418927,I,
9,50,2,2,False,3600.164999961853,3600.0,5158.0,29236,33980,1972490,J,
10,50,5,3,True,3.2059998512268066,3.2059998512268066,0.0,112844,23705,1608507,A,
11,50,5,3,True,20.39900016784668,20.39900016784668,0.0,102164,31750,3384977,B,
12,50,5,3,True,2.8340001106262207,2.8340001106262207,0.0,89714,23655,1388097,C,
13,50,5,3,True,56.11199998855591,56.11199998855591,0.0,105604,57842,9601648,D,
14,50,5,3,True,3.745000123977661,3.745000123977661,0.0,83782,23655,1120314,E,
15,50,5,3,True,175.39299988746643,175.39299988746643,28.0,88378,53822,8846112,F,
16,50,5,3,True,3.8399999141693115,3.8399999141693115,0.0,78826,23655,1104397,G,
17,50,5,3,True,59.32299995422363,59.32299995422363,47.0,92800,41755,6052266,H,
18,50,5,3,True,1.8849999904632568,1.8849999904632568,0.0,68440,23605,876094,I,
19,50,5,3,True,173.85700011253357,173.85700011253357,41.0,74865,49750,6261421,J,
20,50,5,5,True,4.501999855041504,4.501999855041504,0.0,130350,24505,2421085,A,
21,50,5,5,True,14.108000040054321,14.108000040054321,0.0,137560,32550,4561035,B,
22,50,5,5,True,2.6610000133514404,2.6610000133514404,0.0,112644,24455,1422651,C,
23,50,5,5,True,45.42799997329712,45.42799997329712,0.0,121916,54621,8669753,D,
24,50,5,5,True,3.07099986076355,3.07099986076355,0.0,102468,24455,1268239,E,
25,50,5,5,True,127.63099980354309,127.63099980354309,6.0,123268,38535,6095097,F,
26,50,5,5,True,3.805000066757202,3.805000066757202,0.0,110332,24455,1602467,G,
27,50,5,5,True,91.94000005722046,91.94000005722046,0.0,116404,54620,8866671,H,
28,50,5,5,True,6.062999963760376,6.062999963760376,1.0,79348,24405,1099867,I,
29,50,5,5,True,11.023000001907349,11.023000001907349,0.0,88228,38484,3450535,J,
30,100,4,4,True,166.31900000572205,166.31900000572205,48.0,212280,44104,3138652,A,
31,100,4,4,False,3601.0090000629425,3600.0,234.0,233496,77895,13937814,B,
32,100,4,4,False,3600.3740000724792,3600.0,102.0,220760,44104,3290028,C,
33,100,4,4,True,1975.1440000534058,1975.1440000534058,19.0,239128,77896,14959808,D,
34,100,4,4,True,835.2109999656677,835.2109999656677,483.0,159458,44004,2104244,E,
35,100,4,4,True,204.37399983406067,204.37399983406067,2.0,167648,52054,4014374,F,
36,100,4,4,True,230.42799997329712,230.42799997329712,167.99999999999972,168470,44004,2063027,G,
37,100,4,4,False,3600.0789999961853,3600.0,143.0,162278,47223,3171614,H,
38,100,4,4,True,510.84800004959106,510.84800004959106,575.0,108180,43904,1262394,I,
39,100,4,4,False,3600.587000131607,3600.0,10628.0,113948,100223,10633737,J,
40,100,10,5,True,54.78099989891052,54.78099989891052,0.0,403640,47510,7327435,A,
41,100,10,5,True,303.75,303.75,0.0,432350,123910,32522600,B,
