,number_of_jobs,number_of_machines,number_of_workers,optimum_reached,T(s),T_opt(s),LP,number_of_variables,number_of_constraints,nzs,version,number_of_projects
0,84,27,7,True,70.16700005531311,70.16700005531311,572.0,131164,63763,15579276,0,40
1,75,24,7,True,55.00499987602234,55.00499987602234,546.0,130578,44836,14043013,1,40
2,102,32,9,True,195.0920000076294,195.0920000076294,1050.0,242642,119302,48882763,2,40
3,81,26,7,True,67.15900015830994,67.15900015830994,2366.0,155857,56918,25353022,3,40
4,91,29,8,True,98.50999999046326,98.50999999046326,518.0,209186,99565,32108590,4,40
5,137,43,12,,3600.0,,,,,,5,40
6,95,30,8,True,92.30099987983704,92.30099987983704,406.0,216946,106012,32266143,6,40
7,97,31,8,True,146.8399999141693,146.8399999141693,2458.0,261422,106421,50578308,7,40
8,91,29,8,True,232.08900022506714,232.08900022506714,866.0,219019,89515,33413110,8,40
9,87,28,8,True,82.0550000667572,82.0550000667572,694.0,174974,77440,27728804,9,40
10,164,52,14,,3600.0,,,,,,0,80
11,205,65,17,,3600.0,,,,,,1,80
12,171,54,14,,3600.0,,,,,,2,80
13,191,60,16,,3600.0,,,,,,3,80
14,168,53,14,,3600.0,,,,,,4,80
15,185,58,16,,3600.0,,,,,,5,80
16,256,80,21,,3600.0,,,,,,6,80
17,190,60,16,,3600.0,,,,,,7,80
18,167,53,14,,3600.0,,,,,,8,80
19,165,52,14,True,289.8510000705719,289.8510000705719,874.0,819155,200680,90811806,9,80
20,318,100,26,,3600.0,,,,,,0,120
21,348,109,29,,3600.0,,,,,,1,120
22,246,77,20,,3600.0,,,,,,2,120
23,271,85,23,,3600.0,,,,,,3,120
24,282,89,23,,3600.0,,,,,,4,120
25,304,95,25,,3600.0,,,,,,5,120
26,313,98,26,,3600.0,,,,,,6,120
27,322,101,27,,3600.0,,,,,,7,120
28,219,69,18,,3600.0,,,,,,8,120
29,311,98,26,,3600.0,,,,,,9,120
