,J,M,K,mode,#opt,T(s),T_opt(s),LP,#vars,#constrs,#nzs
0,100,10,5,A,True,58.812999963760376,58.812999963760376,0.0,403640,47510,7327435
0,100,10,5,B,True,324.2180001735687,324.2180001735687,0.0,432350,123910,32522600
0,100,10,5,C,True,24.69700002670288,24.69700002670288,0.0,367307,47410,5121710
0,100,10,5,D,False,3600.0,3600.0,,0,0,0
0,100,10,5,E,True,43.36199998855591,43.36199998855591,0.0,320936,47310,5169941
0,100,10,5,F,True,967.1710000038147,967.1710000038147,0.0,353012,135777,28211284
0,100,10,5,G,True,59.4280002117157,59.4280002117157,0.0,309476,47210,4368989
0,100,10,5,H,True,3140.080999851227,3140.080999851227,0.0,327615,187950,39273423
0,100,10,5,I,True,41.74399995803833,41.74399995803833,0.0,247538,47110,3200798
0,100,10,5,J,True,729.1340000629425,729.1340000629425,0.0,274610,155680,27513113
