,J,M,K,mode,#opt,T(s),T_opt(s),LP,#vars,#constrs,#nzs
0,200,8,8,A,False,3600.0,3600.0,,0,0,0
0,200,8,8,B,False,3600.0,3600.0,,0,0,0
0,200,8,8,C,False,3600.9509999752045,3600.0,,2356074,7008,50470132
0,200,8,8,D,False,3600.0,3600.0,,0,0,0
0,200,8,8,E,True,608.2709999084473,608.2709999084473,0.0,1437177,7008,28937262
0,200,8,8,F,False,3600.0,3600.0,,0,0,0
0,200,8,8,G,False,3600.0,3600.0,,0,0,0
0,200,8,8,H,False,3600.0,3600.0,,0,0,0
0,200,8,8,I,False,3600.46599984169,3600.0,,847487,7008,17871588
0,200,8,8,J,False,3600.3650000095367,3600.0,,863739,17067,29928301
