,J,M,K,mode,#opt,T(s),T_opt(s),LP,#vars,#constrs,#nzs
0,50,5,3,A,True,10.440000057220459,10.440000057220459,0.0,211495,3355,4287480
0,50,5,3,B,True,45.29900002479553,45.29900002479553,0.0,191470,11400,9696415
0,50,5,3,C,True,7.872999906539917,7.872999906539917,0.0,153724,3355,3573726
0,50,5,3,D,True,168.04999995231628,168.04999995231628,0.0,180964,30708,27446788
0,50,5,3,E,True,6.421999931335449,6.421999931335449,0.0,75154,3355,1462912
0,50,5,3,F,True,127.94000005722046,127.94000005722046,28.0,78970,27492,12524310
0,50,5,3,G,True,7.721999883651733,7.721999883651733,0.0,70363,3355,1515444
0,50,5,3,H,True,42.66199994087219,42.66199994087219,47.0,80266,17837,7815354
0,50,5,3,I,True,2.3959999084472656,2.3959999084472656,0.0,54676,3355,1059308
0,50,5,3,J,True,110.22399997711182,110.22399997711182,40.99999999999995,60817,19048,8402953
